message,label
Congratulations! You've won a brand new phone.,Fake
You have been selected for a cash reward! Click here to claim.,Fake
Your bank account has been temporarily frozen. Verify now.,Fake
Limited time offer: Claim your free gift card.,Fake
Win a free cruise to the Bahamas! Reply YES to enter.,Fake
Urgent: Update your payment details to continue service.,Fake
Get a loan approved without paperwork. Apply now!,Fake
Exclusive deal ends today. Act fast to win big.,Fake
Your mobile number has been selected for a special prize.,Fake
"You are eligible for a government grant of $10,000.",Fake
Claim your iPhone 14 today by clicking this link.,Fake
Alert! Your account is at risk. Login to fix now.,Fake
Win a luxury holiday. Click this link before midnight.,Fake
Congratulations! You have received a cash back reward.,Fake
Free entry to the lucky draw for instant rewards!,Fake
Notification: You've won an Apple Watch. Claim now.,Fake
Get free recharge for your mobile now.,Fake
Zero-interest loan available now for a limited period.,Fake
Special discount coupons for selected users. Redeem now.,Fake
Congratulations! You have qualified for a VIP prize.,Fake
Meeting is scheduled at 3 PM tomorrow.,Real
Team lunch scheduled this Friday at 1 PM.,Real
Please review the attached project document.,Real
Don’t forget to submit your timesheet today.,Real
The weekly report meeting has shifted to 4 PM.,Real
Happy birthday! Have a wonderful day.,Real
Your OTP for login is 4572.,Real
Can you send me the details by email?,Real
Let me know if you have any questions.,Real
Project handover is set for Monday.,Real
There will be a fire drill at noon today.,Real
Your leave for tomorrow has been approved.,Real
Please find the invoice attached.,Real
Let’s catch up for coffee next week.,Real
Your balance is below minimum requirement.,Real
I will call you in the evening.,Real
Don’t forget tomorrow’s presentation.,Real
The files have been uploaded successfully.,Real
Your appointment is confirmed for next Wednesday.,Real
बधाई हो! आपने ₹50000 का इनाम जीता है,Fake
यह लिंक खोलें और ईनाम पाएं।,Fake
आपका बैंक खाता लॉक हो गया है। सत्यापन करें।,Fake
आपने लिमिटेड ऑफर जीता है! अभी दवा करें।,Fake
आप मुफ्त मोबाइल रीचार्ज जीत सकते हैं।,Fake
अभी आवेदन करें और लोन पाएं।,Fake
यह संदेश शेयर करें और इनाम पाएं.,Fake
आपका नंबर लकी ड्रा में निकल आया है,Fake
आपकी लॉटरी लगी है। लिंक पर क्लिक करें।,Fake
आपको ₹100000 का इनाम मिल सकता है।,Fake
फ्री डेटा पैक पाने के लिए यह करें।,Fake
लग्जरी गाड़ी जीतने का अंतिम मौका.,Fake
अपने डिटेल्स भरें और पुरस्कार लें।,Fake
आपका एटीएम कार्ड बंद हो गया है।,Fake
यह मौका दोबारा नहीं मिलेगा।,Fake
अभी क्लिक करें और गोल्ड जीतें।,Fake
सिर्फ चुने गए ग्राहकों के लिए ऑफर।,Fake
अपना आधार नम्बर भेजें और नकद पाएं।,Fake
आपका अकाउंट जोखिम में है। सत्यापन करें।,Fake
आपके लिए विशेष इनाम है।,Fake
कक्षा कल सुबह 10 बजे होगी।,Real
कृपया फॉर्म जल्दी भर दें।,Real
आपका डॉक्युमेंट अपडेट हो गया है।,Real
आज मौसम अच्छा है।,Real
मुझे कल फोन करना।,Real
आज रात खाना साथ में खाना है क्या?,Real
मीटिंग दोपहर 3 बजे शुरू होगी।,Real
समस्या का समाधान कर दिया गया है।,Real
आपका ऑर्डर वितरण के लिए तैयार है।,Real
गेम का परिणाम देर शाम आएगा।,Real
कृपया रिपोर्ट भेज दें।,Real
तैयारी पूरी हो गई है।,Real
परियोजना की डेडलाइन शुक्रवार है।,Real
आपके सवाल का उत्तर भेज दिया गया है।,Real
आपका टिकट बुक हो गया है।,Real
आज ऑफिस में त्योहार है।,Real
टीम मीटिंग कल सुबह है।,Real
नया अपडेट अब डाउनलोड किया जा सकता है।,Real
आज की कक्षा रद्द कर दी गई है।,Real
कृपया चाय लाना।,Real
