message,label
Update your account info before midnight.,SUSPICIOUS
Check this link I found yesterday: short.io/fakeoffer,SUSPICIOUS
You have a package waiting. Confirm now.,SUSPICIOUS
Check this link I found yesterday: tinyurl.com/spamlink,SUSPICIOUS
Suspicious login detected from Mumbai. Verify now.,SUSPICIOUS
Verify your identity by clicking this bit.ly/fake1.,SUSPICIOUS
Meeting at 5 PM today.,REAL
Suspicious login detected from Mumbai. Verify now.,SUSPICIOUS
Reminder: Your appointment is on 2023-09-01.,REAL
Your account will be blocked. Click now to verify.,FAKE
This is the final notice. Click here to pay.,SUSPICIOUS
You have a pending refund. Claim it now.,FAKE
"Your OTP is 956307, valid for 5 mins.",REAL
Your ATM card is suspended. Click to reactivate.,FAKE
"Dear user, your Paytm account is deactivated. Login to resolve.",FAKE
"Hi, how are you?",REAL
This is the final notice. Click here to pay.,SUSPICIOUS
You have a package waiting. Confirm now.,SUSPICIOUS
Your friend sent you something. See here: bit.ly/fake1,SUSPICIOUS
Immediate action needed. Click here.,SUSPICIOUS
Meeting at 10 AM today.,REAL
Your train booking is confirmed. PNR: 392460.,REAL
Your order #924936 has been confirmed.,REAL
Click here to receive your government grant.,FAKE
"Hi, how are you?",REAL
Free gift card for first 100 users. Hurry!,FAKE
Your order #541291 has been confirmed.,REAL
"Payment of ₹50,000 received successfully.",REAL
You have a pending refund. Claim it now.,FAKE
You have a package waiting. Confirm now.,SUSPICIOUS
Your order #515640 has been confirmed.,REAL
URGENT! Login now to keep your account active.,FAKE
Suspicious login detected from Bangalore. Verify now.,SUSPICIOUS
Please submit your assignment by 5 PM.,REAL
Reminder: Your appointment is on 2023-10-01.,REAL
Reminder: Your appointment is on 2023-09-01.,REAL
Your account will be blocked. Click now to verify.,FAKE
Your order #981656 has been confirmed.,REAL
"Dear user, your Paytm account is deactivated. Login to resolve.",FAKE
Meeting at 10 AM today.,REAL
Suspicious login detected from Bangalore. Verify now.,SUSPICIOUS
Meeting at 5 PM today.,REAL
"Your OTP is 731033, valid for 5 mins.",REAL
You have a package waiting. Confirm now.,SUSPICIOUS
Reminder: Your appointment is on 2023-09-01.,REAL
Flight ticket booked successfully. Ref: 478144.,REAL
Meeting at 5 PM today.,REAL
Your friend sent you something. See here: short.io/fakeoffer,SUSPICIOUS
Free laptop for first 100 users. Hurry!,FAKE
You have a pending refund. Claim it now.,FAKE
Click here to receive your government grant.,FAKE
Your friend sent you something. See here: short.io/fakeoffer,SUSPICIOUS
Your train booking is confirmed. PNR: 604793.,REAL
Free mobile for first 100 users. Hurry!,FAKE
"Earn ₹2,500 per day from home!",FAKE
Your ATM card is suspended. Click to reactivate.,FAKE
Reminder: Your appointment is on 2023-09-01.,REAL
"Congratulations! You've won ₹1,000! Click here to claim.",FAKE
Wishing you a very happy birthday!,REAL
This is the final notice. Click here to pay.,SUSPICIOUS
"Dear user, your Paytm account is deactivated. Login to resolve.",FAKE
Your train booking is confirmed. PNR: 370521.,REAL
Flight ticket booked successfully. Ref: 884879.,REAL
Check this link I found yesterday: bit.ly/fake1,SUSPICIOUS
"Hey, is this your profile picture? short.io/fakeoffer",SUSPICIOUS
Your order #656561 has been confirmed.,REAL
Meeting at 5 PM today.,REAL
You have a pending refund. Claim it now.,FAKE
Check this link I found yesterday: short.io/fakeoffer,SUSPICIOUS
You have a pending refund. Claim it now.,FAKE
Reminder: Your appointment is on 2023-09-15.,REAL
"Earn ₹1,000 per day from home!",FAKE
Your friend sent you something. See here: bit.ly/fake1,SUSPICIOUS
Update your account info before midnight.,SUSPICIOUS
"Congratulations! You've won ₹1,000! Click here to claim.",FAKE
Check this link I found yesterday: short.io/fakeoffer,SUSPICIOUS
Immediate action needed. Click here.,SUSPICIOUS
Immediate action needed. Click here.,SUSPICIOUS
Reminder: Your appointment is on 2023-09-01.,REAL
Immediate action needed. Click here.,SUSPICIOUS
This is the final notice. Click here to pay.,SUSPICIOUS
"Earn ₹2,500 per day from home!",FAKE
You have been selected for a free gift card.,FAKE
URGENT! Login now to keep your account active.,FAKE
Your friend sent you something. See here: tinyurl.com/spamlink,SUSPICIOUS
"Payment of ₹50,000 received successfully.",REAL
Your ATM card is suspended. Click to reactivate.,FAKE
"Congratulations! You've won ₹1,000! Click here to claim.",FAKE
Free gift card for first 100 users. Hurry!,FAKE
"Dear user, your Paytm account is deactivated. Login to resolve.",FAKE
"Payment of ₹1,000 received successfully.",REAL
Your friend sent you something. See here: bit.ly/fake1,SUSPICIOUS
Verify your identity by clicking this bit.ly/fake1.,SUSPICIOUS
Your friend sent you something. See here: tinyurl.com/spamlink,SUSPICIOUS
"Hi, how are you?",REAL
"Your OTP is 364023, valid for 5 mins.",REAL
"Earn ₹1,000 per day from home!",FAKE
Free mobile for first 100 users. Hurry!,FAKE
URGENT! Login now to keep your account active.,FAKE
Your train booking is confirmed. PNR: 809571.,REAL
You have a package waiting. Confirm now.,SUSPICIOUS
Immediate action needed. Click here.,SUSPICIOUS
"Payment of ₹1,000 received successfully.",REAL
Your ATM card is suspended. Click to reactivate.,FAKE
This is the final notice. Click here to pay.,SUSPICIOUS
Your friend sent you something. See here: bit.ly/fake1,SUSPICIOUS
Did you try to login from a new device?,SUSPICIOUS
Update your account info before midnight.,SUSPICIOUS
Verify your identity by clicking this tinyurl.com/spamlink.,SUSPICIOUS
Verify your identity by clicking this short.io/fakeoffer.,SUSPICIOUS
Check this link I found yesterday: bit.ly/fake1,SUSPICIOUS
Please submit your assignment by 3 PM.,REAL
Immediate action needed. Click here.,SUSPICIOUS
Update your account info before midnight.,SUSPICIOUS
You have a package waiting. Confirm now.,SUSPICIOUS
Free gift card for first 100 users. Hurry!,FAKE
Your order #917242 has been confirmed.,REAL
"Congratulations! You've won ₹2,500! Click here to claim.",FAKE
Wishing you a very happy birthday!,REAL
You have been selected for a free gift card.,FAKE
Update your account info before midnight.,SUSPICIOUS
Your account will be blocked. Click now to verify.,FAKE
Wishing you a very happy birthday!,REAL
"Hey, is this your profile picture? short.io/fakeoffer",SUSPICIOUS
"Hey, is this your profile picture? short.io/fakeoffer",SUSPICIOUS
"Hey, is this your profile picture? tinyurl.com/spamlink",SUSPICIOUS
"Payment of ₹2,500 received successfully.",REAL
You have a pending refund. Claim it now.,FAKE
Suspicious login detected from Delhi. Verify now.,SUSPICIOUS
Immediate action needed. Click here.,SUSPICIOUS
You have a package waiting. Confirm now.,SUSPICIOUS
"Earn ₹1,000 per day from home!",FAKE
