message,label
"Govt is giving ₹10,000 to all citizens under PM Relief Fund. Click this link to claim now: http://bit.ly/freerelief2025",Fake
"hello bro kesa h, tujhe pata h tu 500 dollar jeet gaya h",Fake
I'm very sleepy right now,Fake
mujhe neend aari h abhi,Fake
mera kal school h,Fake
Can you send me the details by email?,Real
The files have been uploaded successfully.,Real
Modi Ji ne bola ki ₹5000 milega,Fake
Special discount coupons for selected users. Redeem now.,Fake
Special discount coupons for selected users. Redeem now.,Fake
Get free recharge for your mobile now.,Fake
"Get free RECHARGE for your mobile now.",Fake
